Sample,X,Y,Z
0,0.078,0.297,1.113
1,0.121,0.156,1.141
2,0.051,0.148,1.023
3,0.004,-0.027,0.922
4,-0.023,-0.199,0.926
5,-0.043,-0.148,0.895
6,-0.047,-0.020,0.969
7,-0.059,0.027,0.992
8,-0.051,-0.012,0.977
9,-0.031,-0.062,0.961
10,-0.012,-0.094,0.953
11,0.016,-0.035,1.008
12,0.031,0.055,1.027
13,0.055,0.078,1.027
14,0.066,0.016,0.992
15,0.066,0.008,0.988
16,0.043,0.000,0.969
17,0.027,-0.008,0.988
18,0.008,0.016,0.945
19,0.004,0.031,0.898
20,-0.004,0.000,0.914
21,0.004,-0.004,0.980
22,0.031,0.016,1.035
23,0.078,0.012,1.086
24,0.090,0.023,1.043
25,0.062,0.008,1.055
26,0.023,-0.074,1.027
27,0.004,-0.059,1.012
28,-0.008,-0.066,1.008
29,-0.039,-0.066,0.980
30,-0.074,-0.031,0.895
31,-0.066,-0.020,0.883
32,-0.059,-0.055,0.941
33,-0.016,0.012,0.961
34,0.027,0.113,0.988
35,0.074,0.102,1.074
36,0.074,0.062,1.051
37,0.086,0.012,1.059
38,0.039,-0.035,0.953
39,0.047,-0.066,0.977
40,0.008,-0.031,0.945
41,0.004,-0.016,0.984
42,-0.016,-0.020,0.980
43,0.000,-0.020,0.973
44,-0.008,-0.012,0.941
45,-0.004,0.004,0.957
46,-0.012,0.039,0.977
47,0.012,0.059,1.020
48,0.035,0.039,1.027
49,0.020,-0.043,1.039
50,0.012,-0.070,0.934
51,-0.004,-0.039,0.914
52,-0.016,-0.008,0.988
53,0.012,-0.020,1.047
54,0.020,-0.004,1.004
55,0.023,0.008,0.961
56,0.016,0.027,0.953
57,0.020,0.039,1.000
58,0.020,0.023,1.043
59,0.031,0.004,1.004
60,0.043,0.027,0.973
61,0.008,0.027,0.938
62,0.012,-0.047,0.992
63,0.000,-0.047,0.977
64,0.023,-0.031,0.988
65,0.008,0.016,0.949
66,0.023,0.016,0.953
67,0.012,0.000,1.004
68,0.027,-0.016,1.039
69,0.031,0.043,1.016
70,0.039,0.031,1.000
71,0.012,-0.008,0.953
72,0.004,-0.031,0.906
73,-0.020,-0.008,0.965
74,-0.008,-0.004,0.973
75,-0.008,-0.004,0.996
76,0.004,-0.008,0.969
77,-0.004,0.016,0.941
78,0.027,0.012,0.988
79,0.023,0.000,1.023
80,0.023,0.008,1.004
81,0.039,0.016,1.023
82,0.000,0.000,0.961
83,0.000,-0.020,0.941
84,-0.012,-0.047,0.938
85,0.012,-0.031,0.965
86,0.020,-0.004,0.984
87,0.027,0.016,0.980
88,0.031,0.016,1.000
89,0.043,0.000,1.027
90,0.059,0.012,1.020
91,0.047,0.031,0.996
92,0.012,0.051,1.000
93,-0.008,-0.004,0.984
94,-0.012,-0.070,0.957
95,0.004,-0.043,0.934
96,-0.004,-0.016,0.984
97,0.000,-0.039,1.000
98,-0.004,-0.039,1.016
99,0.004,-0.031,0.949
100,0.031,-0.059,1.000
101,0.012,-0.047,1.016
102,0.016,-0.027,1.008
103,0.027,-0.020,1.031
104,0.031,-0.008,1.039
105,0.039,-0.004,1.035
106,0.012,-0.031,1.016
107,0.008,-0.031,1.000
108,0.008,-0.008,0.984
109,0.008,0.000,0.988
110,0.000,-0.027,0.969
111,0.012,-0.027,0.973
112,0.008,0.035,0.941
113,0.039,0.043,1.012
114,0.039,0.012,1.008
115,0.047,-0.012,1.020
116,0.020,0.023,0.980
117,0.023,0.031,0.953
118,0.020,0.023,0.973
119,0.023,-0.031,1.016
120,-0.004,-0.027,0.961
121,0.020,-0.008,0.957
122,-0.004,0.012,0.941
123,0.004,-0.027,0.973
124,-0.008,-0.031,0.988
125,0.004,-0.004,0.949
126,0.008,0.008,0.988
127,0.008,0.031,0.965
128,0.020,-0.004,1.008
129,0.027,-0.047,1.023
130,0.027,-0.023,0.992
131,0.035,0.039,0.969
132,0.043,0.020,1.047
133,0.043,-0.020,1.070
134,0.043,-0.023,1.027
135,0.012,-0.004,0.949
136,0.008,0.000,0.953
137,-0.004,0.012,0.988
138,0.000,0.004,1.023
139,-0.012,-0.039,1.000
140,-0.008,-0.047,0.910
141,-0.016,0.016,0.875
142,0.000,0.004,0.992
143,0.000,-0.012,1.020
144,0.035,0.039,0.957
145,0.012,0.043,0.977
146,0.035,-0.012,0.984
147,0.031,-0.023,0.961
148,0.043,-0.020,1.039
149,0.039,-0.008,0.996
150,0.035,0.027,0.984
151,0.020,0.008,0.984
152,0.004,-0.051,0.980
